Username,Handle,Timestamp,Tweet Text,Comments,Retweets,Likes
CHOQUEI,@choquei,2022-10-26T15:49:41.000Z,"AGORA: Pedro Sanchez, presidente da Espanha, declara apoio a Lula no segundo turno. Sanchez afirma que lula é uma voz contra o ódio. #Eleiçoes2022",314,3.415,"28,3 mil"
Lil MarcoM,@marcosmore,2022-10-22T14:25:17.000Z,"Três coisas que eu NÃO AGUENTO MAIS:

- Eleições 2022
- Vídeos de Jade Picon atuando
- Tuítes de Flora Matos brigando sozinha",132,"11,2 mil","52,6 mil"
CHOQUEI,@choquei,2022-10-26T03:07:47.000Z,"VEJA: MC Poze do Rodo reiterando seu apoio a Lula neste segundo turno:

“Cada um tem o direito de ser o que quiser, e eu sou Lula”. #Eleições2022",1.397,"12,6 mil","76,9 mil"
Folha de S.Paulo,@folha,2022-10-27T00:35:13.000Z,"#Eleições2022 | Cinegrafista relata pressão de equipe de Tarcísio e diz que filmou pessoas à paisana atirando. Repórter-cinematográfico afirma que emissora pediu que ele gravasse vídeo para candidato. Leia: http://bit.ly/3zHosOz

Siga no fio ",498,5.485,"14,7 mil"
Aguirre Talento,@aguirretalento,2022-10-27T12:34:32.000Z,"Exclusivo: MPE diz que policiais federais de Goiás se recusaram a prender empresários bolsonaristas por crime eleitoral. Com 
@babbud
 | Eleições 2022 | O Globo",47,444,1.022
Deh Muniz,@adeborah_muniz,2022-10-27T16:46:45.000Z,Será que é pq ela alerta a população sobre a VERDADE das fraudes nas #Eleicoes2022 ?,,,
Le_Fer_BR,@LessaFer_BR,2022-10-27T16:50:07.000Z,"Ainda na dúvida? 

#Eleicoes2022 #Vote
#Eleicao2022 #eleicoes",,1,
CHOQUEI,@choquei,2022-10-27T00:30:30.000Z,"AGORA: Apuração de Natuza Nery, diz que Bolsonaro cogitou discurso radicalizado e de guerra, mas desistiu depois de ouvir assessores e aliados. #Eleições2022",170,1.098,8.201
João Henrique da Fonseca,@JHFonseca,2022-10-27T13:32:43.000Z,"***LULA COGITA RUI COSTA NO MINISTÉRIO DA FAZENDA E ANDRÉ LARA RESENDE NO PLANEJAMENTO.
.
Faria Lima achou que vinha Meirelles e parece que vem a turminha da MMT, amante da impressão de dinheiro e máquina de gerar inflação. #Eleicoes2022",31,167,796
cafecomferri,@cafecomferri,2022-10-27T15:10:08.000Z,"Olha o absurdo: O GLOBO

Clica aqui:",865,878,4.136
Zé Trovão Deputado Federal,@TrovaoDas,2022-10-19T00:30:34.000Z,"Meus amigos caminhoneiros dia 30 de outubro está chegando, e peço que pare seu caminhão em ato cívico em prol do nosso país 
Precisamos reeleger nosso capitão e eu conto com vocês!

#Euvouparar #BolsonaroPresidente22 #Eleicoes2022 #Caminhoneiros",505,7.824,"25,9 mil"
Lucas Oberg,@Lucasooberg,2022-10-27T13:00:14.000Z,"ENQUETE ELEIÇÕES 2022 PRESIDENCIAL.

FALTANDO 3 DIAS 

2º TURNO QUEM VOCÊ VOTA ?

 LULA (PT)
 BOLSONARO (PL)
 NULO

#LulaPresidente1️⃣3️⃣ #LulaDay #BolsonaroReeleito2️⃣2️⃣ 

 COMPARTILHE ",3,238,934
CHOQUEI,@choquei,2022-10-26T22:42:29.000Z,BRASIL: Se preparem para os próximos minutos. Jair Bolsonaro chama à imprensa e ministros para uma reunião de emergência de no Alvorada. Aliados classificam como “guerra”. Fontes revelam o descontrole de Jair. #Eleições2022,986,2.441,"25,2 mil"
CHOQUEI,@choquei,2022-10-27T01:49:50.000Z,VEJA: Apoiadores de Jair Bolsonaro entram em clima de ‘desespero’ e de ‘derrota’ após os acontecimentos das últimas 24hrs. #Eleições2022,907,2.568,"22,5 mil"
Séries Brasil,@SeriesBrasil,2022-10-21T15:08:27.000Z," Relatório aponta que R$8,5 MILHÕES do orçamento secreto foram destinados a construções de 50 escolas e creches inexistentes no Maranhão. #Eleiçoes2022",176,4.503,"33,9 mil"
Metrópoles,@Metropoles,2022-10-27T10:39:13.000Z,"Agora: o Partido Novo não deu detalhes sobre motivação, mas determinou a imediata suspensão da filiação de João Amoêdo. Medida ocorre após o fundador do partido anunciar voto em Lula (PT) no segundo turno #Eleicoes2022",331,425,2.165
isa,@dailyabtms,2022-10-24T09:24:56.000Z,"Nunca votei no Lula mas dia 30 EU VOU DE LULA  

Contra o terrorismo e fascismo que o bozonarismo representa, contra bandidos como Rob. Jefferson que atira em polícia de fuzil e granada. 

A favor da democracia!

bom dia.
#Eleicoes2022 #LulaPresidente20221️⃣3️⃣",9,545,2.263
PRISCILA,@Eupriscily,2022-10-26T23:08:26.000Z,"William Bonner no domingo:

“Atenção! Acaba de ser eleito o presidente Luiz Inácio Lula da Silva”
#Eleicoes2022",8,39,200
Folha de S.Paulo,@folha,2022-10-27T10:50:22.000Z,A campanha de Bolsonaro (PL) pretende usar um relatório com diversas fragilidades sobre suposta supressão de inserções do presidente em rádios do Norte e Nordeste como uma forma de estender debate jurídico sobre a legitimidade das #Eleições2022.  Leia em http://bit.ly/3TXOVPm,310,152,679
Rodrigo Bezerra,@Rodrigobez__,2022-10-27T01:20:55.000Z,"Em tempo de levar um tirO, mas fazendo meu papel de irritar minion  #lula #fazoL #Eleicoes2022",1,,11
Instituto Veritá,@InstitutoVerit1,2022-10-26T16:25:35.000Z,"O Instituto Veritá, com base na última pesquisa divulgada na terceira semana do 2o turno, demonstra como está a dinâmica da opinião dos eleitores em cada estado brasileiro.

#Eleicoes2022 
#presidente
#SegundoTurno",122,1.309,3.865
Jornal do Commercio,@jc_pe,2022-10-27T16:48:10.000Z,"'Marília Arraes é o caminho que o PSB encontrou para se manter no poder', diz Priscila Krause, candidata a vice-governadora de Pernambuco #Eleições2022",,1,5
