Username,Handle,Timestamp,Tweet Text,Comments,Retweets,Likes
FutebolNews,@realfutebolnews,2022-09-26T20:17:41.000Z,"Frase motivacional do dia:

Se Harry Maguire é capitão no Manchester United, titular da Inglaterra e jogador de futebol, você pode ser tudo na vida.",76,1.805,"11,2 mil"
Mundo do Futebol,@futeinfos,2022-09-26T12:48:03.000Z,Antony joga bonito. ,2,332,3.520
mister_Occam,@Navalha_Occam,2022-09-26T17:24:51.000Z,Uma das maiores reviravoltas capilares do futebol,5,1,239
,@DoentesPFutebol,2022-09-26T22:14:37.000Z,"Esse já foi. 
@vinijr
  

 Lionel Hahn",,27,1.992
Jogada de camisa 10,@jogadadcamisa10,2022-09-27T15:38:54.000Z,#sdv #romario #futebol Espero que hoje seja um bom dia!,,,
Everaldo Ribeiro,@Everald11778071,2022-09-27T00:46:29.000Z,"Racha dos pais , escola de futebol prof.Pista, Crato Ceará.",,,
Soberan0,@LoucoPFutebol9,2022-09-26T02:33:03.000Z,"ÔÔÔ TRICOLOR 
Ela tira onda ",,,1
coisas que só acontecem no futebol brasileiro,@soacontecenoBR8,2022-09-26T14:32:11.000Z,DJ coloca arrocha funk depois do hino brasileiro,70,588,5.418
coisas que só acontecem no futebol brasileiro,@soacontecenoBR8,2022-09-26T09:29:56.000Z,Santos e Corinthians disputando para ver quem fica com o Luan,10,128,1.077
NN,@ComendoCurioso,2022-09-26T16:18:53.000Z,Nem só de política e futebol vive o Homem.,,,1
FIFA TRADE BRASIL,@FIFATRADEBRASIL,2022-09-25T22:16:25.000Z,"Gringo diz: O futebol brasileiro nao é mais o mesmo.

O sub 13 do Santos:",74,809,9.643
O Burguês que se Segue,@JacLusitano,2022-09-25T16:57:19.000Z,Só o Povo do Futebol pode Acabar Com Esta Corrupção #CancellaSportv #RibeiroCristóvãoRua #40AnosDisto  ,,3,11
Maria Bruaca ¹³,@BruakerMaria,2022-09-26T23:00:57.000Z,"Suruiense Futebol Club
#sirimanguaca 
Campeão Mageense 2022",1,,5
Planeta do Futebol,@futebol_info,2022-09-27T14:29:53.000Z,"Andreas Pereira revela que tentou ir para o Santos antes de acertar com o Flamengo:

“Todos sabem que eu gosto muito do Santos. Falei com os caras, meu pai falou com o presidente, mas estava muito difícil. Financeiramente, era impossível.”

 
@RonaldoTV09",102,74,468
,@lilneisex,2022-09-26T00:22:44.000Z,São Paulo Futebol Clube,,1,4
O Tempo,@otempo,2022-09-26T22:20:34.000Z,"Um vídeo que circula nas redes sociais mostra que a alegria pelo acesso do Cruzeiro à Série A não tem idade, momento ou tamanho. Luna Viegas nasceu no último sábado (24), em BH, e a primeira informação que recebeu foi que o Cruzeiro estava na elite do futebol nacional. Confira:",19,219,1.721
Alline Calandrini,@allincalandrini,2022-09-27T13:27:20.000Z,"As atletas/mulheres conquistaram seu espaço no esporte. A batalha não foi e nem é fácil. Somos vaidosas, bonitas, musas e além de tudo isso jogamos futebol, mas o famoso machismo e até sexualização da atleta e até de jornalistas parece não ter fim. Não importa lotarmos estádios+",4,126,875
Mundo do Futebol,@ofutmundo,2022-09-25T17:00:07.000Z,Uma obra de arte ,2,51,853
Stretford End,@stretfordendbra,2022-09-26T17:28:23.000Z,A melhor versão de Cristiano Ronaldo como jogador! Época em que comecei a torcer pelo clube e quando o futebol se tornou meu esporte favorito.,,,3
rick ⓟ,@pedrodaliv,2022-09-27T00:41:40.000Z,tava lembrando dessa cena simplesmente ICÔNICA do futebol brasileiro KKKKKKKKKKKKKKKKKKKKKK,2,,2
Retweets Bahia City,@RetweetsBahia,2022-09-26T18:36:44.000Z,"Quinta força kkkkkkkk
Se morde aí pnc",,,1
Só futebol,@sofutebol_10,2022-09-26T23:59:42.000Z,Só ELÁSTICOS HUMILHANTES #futsal #fut #dribles,,,
Neymagia Futebol,@Neymargiabr,2022-09-25T15:43:02.000Z,"Neymar deu luzes. 
Então vai meter Gol a rodo terça-feira. ",4,12,404
Mundo do Futebol,@ofutmundo,2022-09-27T12:11:02.000Z,O maior auge de um camisa 9 na história ,1,26,461
BandSports,@bandsports,2022-09-26T14:45:10.000Z,"""Batemos um recorde incrível para o futebol feminino""

Giovanna Campiolo agradeceu o apoio da torcida do Corinthians, que lotou a Neo Química Arena na decisão do Brasileiro Feminino

#Corinthians #BrasileiroFeminino #PrimeiroTempo",1,53,553
fe,@flwmngz,2022-09-27T00:54:16.000Z,tava reparando aqui quando envolve futebol mudo até o jeito de falar,,,1
Pietrolixo ˢᵉᵖ,@pietrolixo,2022-09-25T16:52:08.000Z,Final do brasileirão profissional,,,7
Brasil 247,@brasil247,2022-09-27T13:58:55.000Z,"Bolsonarista Milton Neves posta vídeo sexualizando jogadora de futebol, toma enquadrada e apaga",88,122,497
Carol Shiranui.,@Carol_shiranui,2022-09-25T18:35:53.000Z,SÓ PAU NO CU QUE NÃO GOSTA E NÃO VALORIZA O FUTEBOL FEMININO.,,3,26
Mídia NINJA,@MidiaNINJA,2022-09-26T23:55:53.000Z,"O técnico de futebol Luxemburgo (
@vluxemburgo
) também marcou presença no #BrasilDaEsperança 

 
@MidiaNINJA",114,342,5.088
Ayla❥︎ au jiara no fix,@pankowayla,2022-09-25T22:03:43.000Z,"— John B 
26 Anos;
Treinador de futebol americano",1,2,4
Ferrariᶜʳᶠ,@eo_ferrari,2022-09-26T14:29:23.000Z,"Cadê a musica da copa desse ano, igual a do MC Guimê - pais do futebol?",2,1,2
Cabaré Da Gávea,@cabare_dagavea,2022-09-26T02:22:00.000Z,"""Não se briga por causa de Futebol""

Eu quando alguém fala mal do Flamengo:",,,1
Mundo do Futebol,@futeinfos,2022-09-26T23:04:02.000Z, Ninguém sabe a última vez que Toni Kroos errou um passe.,,46,590
Futebol Nostálgico!,@futnostalgico,2022-09-26T02:04:47.000Z,Oliver Kahn era completamente maluco. ,7,18,124
Futebol Mundial,@jogandopravence,2022-09-26T15:16:02.000Z,16/10/2004. O resto é história...,,3,97
Mundo Futebol,@MundoFuteboI,2022-09-25T15:09:03.000Z,Um amor chamado: Chuteira preta ,4,57,509
Belo Mil Grau,@belomilgrau,2022-09-26T19:31:18.000Z,"Caso confirme o nome de Moisés Egert para ser o novo técnico, o Botafogo volta a apostar em um técnico com experiência no futebol paulista. 

Depois da experiência de Vilar, técnicos com acesso à série B como Gusmão e Itamar, voltamos a um perfil próximo a Piza.",4,1,30
Futebol Mundial,@jogandopravence,2022-09-26T23:45:04.000Z,Se eu ganhasse 1 real por cada vez que eu me estressei com meu time:,,16,71
𝕲𝖚𝖎𝖟𝖎𝖓,@Dwantzzz7,2022-09-26T18:55:23.000Z,"pqp, nego não tm noção, ainda bem q p técnico é o tite",1,,
JohnKage,@KageJohnJK,2022-09-27T14:03:33.000Z,"Gratidão 
@CoronelRomualdo
 que super recomendo em MG, 
@draugustonasser
 que honra, Viana(PM) e Marco(Futebol) conheça o JK (vídeo 6):",,1,1
Luis Mateus,@Luis_Mateus_10,2022-09-26T15:37:23.000Z,"Rodrigo Palacio se aposentou do futebol, após terminar seu contrato com o Brescia Calcio. ",,,7
Mundo do Futebol,@ofutmundo,2022-09-25T15:29:02.000Z,Você consegue sentir a dor só em ver essa imagem ,3,42,275
SPFC DA DECEPÇÃO,@SPFCDaDecepcao,2022-09-27T15:00:35.000Z,"COMEÇOU!!!!! 

Mais de 87 ônibus saindo diretamente de Ratanabá/AM em direção a Córdoba!!! A MAIOR caravana da história!!! Ninguém torce como a gente.

São Paulo Futebol Clube. ",26,104,968
CLUBISTAS DO FLA OFICIAL,@clubistasdofla,2022-09-26T10:33:54.000Z,"""Não se briga por causa de Futebol""

Eu quando alguém fala mal do Flamengo:",,4,15
Luciano Santos (Gerente Executivo de Futebol),@lucianomancha,2022-09-26T15:14:43.000Z,Gratidão.,1,,25
Só futebol,@sofutebol_10,2022-09-25T10:58:46.000Z,Pelnati invertido? Batida nunca vista antes! #futebol #gol,,,1
Bruno Victor,@brunovctor,2022-09-25T22:58:34.000Z,"Eu amo roteiro de filme pornô que q a premissa é dois brothers héteros jogadores de futebol se pegando.

Os atores:",1,,9
Osvaldo Amaral,@71OsvaldoAmaral,2022-09-25T22:25:00.000Z,"Ser Corintiano não é apenas torcer para um time de futebol. É um estado de espírito. É um jeito corajoso, valente e apaixonado de viver a vida!",,1,3
Busby Babes Brasil,@BusbyBabesBr,2022-09-26T20:15:37.000Z,Poucos jogadores no futebol mundial exalam tanto o DNA de fracasso como o cabeça grávida do Maguire.,3,4,118
Mundo Futebol,@ofutemundo,2022-09-27T01:00:05.000Z,O bruxo brincava de jogar futebol,,2,73
Futebol Mundial,@jogandopravence,2022-09-25T15:44:03.000Z,Ninguém parava!,,,62
Corinthiano SCCP,@EuAmoSCCP10,2022-09-25T22:02:26.000Z,O Felipe Andrioli apresentador do globo esporte sabe MUITO de futebol!,,1,34
Futebol,@ofutebolnaveia,2022-09-25T12:23:02.000Z,Quando você volta a jogar futebol depois de muito tempo parado:,,11,88
Planeta do Futebol,@futebol_info,2022-09-27T12:15:26.000Z,"“A torcida do São Paulo não empolga jogador nenhum. A torcida do São Paulo é morta e fria, não vai ajudar em absolutamente nada (na final da Sul-Americana).”

 Emerson Sheik (revelado pelo São Paulo), no Arena SBT.
 Reprodução/SBT",376,342,4.739
Planeta do Futebol,@futebol_info,2022-09-27T12:25:26.000Z,"Ao Diário de Mallorca, Raíllo, capitão do Mallorca, acusa Vini Jr de usar racismo como coringa:

“Vinicius que dance, mas não falte com respeito, não insulte e não menospreze os colegas. Quando é chamado de provocador, usa o coringa do racismo.”

 
@geglobo
 Oscar del Pozo/AFP",266,249,2.399
