Username,Handle,Timestamp,Tweet Text,Comments,Retweets,Likes
CHOQUEI,@choquei,2022-10-10T22:16:34.000Z,"ATENÇÃO: O candidato Lula da Silva vai subir pela 1º vez nesta campanha em uma favela do Rio de Janeiro. Complexo do Alemão vai receber o ex-presidente em uma caminhada, quarta-feira, às 9hs da manhã. #Eleições2022",907,5.066,"65,7 mil"
POPTime,@siteptbr,2022-10-11T10:00:00.000Z,"CRAQUE DE JOGO! 

Em nova campanha para TV aberta, Lula expõe vídeo de Bolsonaro apoiando aborto e os 51 imóveis comprados com dinheiro vivo. #Eleicoes2022",30,1.324,6.150
CHOQUEI,@choquei,2022-10-10T19:29:18.000Z,BRASIL: Pai de Whindersson Nunes declara apoio a Lula: “Estamos com milhões de votos a mais. É 13!”. #Eleições2022,464,3.634,"61,4 mil"
CHOQUEI,@choquei,2022-10-11T13:34:29.000Z,POLÍTICA: PT decidiu acatar sugestão de Simone Tebet e dar preferência ao branco em vez do vermelho nos atos políticos. O objetivo é afastar visão do partido e abraçar imagem de campanha contra o governo atual. #Eleicoes2022,248,1.099,"17,1 mil"
Despolarize-se,@DespolarizeS,2022-10-10T21:57:51.000Z,"Gente do bem, unida em prol do Brasil.
Nunca foi tão fácil escolher!!!
Povo mineiro, o Brasil precisa de vocês, não vamos deixar que essa turma do PT se aproprie do nosso país!!!
#Eleicao2022 #Eleicoes2022",6,205,568
CHOQUEI,@choquei,2022-10-09T21:56:19.000Z,"BRASIL: Patrão que ofereceu 200 reais por votos em Bolsonaro é multado em mais de R$ 150 mil. 

Além disso, ele terá que pagar 2 mil a cada um dos trabalhadores da empresa e divulgar em até 48 horas, um vídeo se retratando à sociedade. #Eleições2022",347,3.450,"38,8 mil"
POPTime,@siteptbr,2022-10-11T02:05:48.000Z," A bolsonarista Damares Alves poderá ser condenada por prevaricação, por não tomar atitudes que condenem a denuncia apresentada por ela.

Damares afirma ter visto casos de abuso infantil, mas só trouxe isso a toma agora, no 2º turno das #Eleicoes2022!",104,1.223,9.077
POPTime,@siteptbr,2022-10-05T02:59:31.000Z," DENÚNCIA: No Paraná, senhora de 64 anos é espancada por eleitores de Bolsonaro ao descobrirem que ela votaria no Lula. #Eleicoes2022",905,"12,6 mil","58,1 mil"
POPTime,@siteptbr,2022-10-04T02:38:13.000Z," Gusttavo Lima e o seu Frigorífico Goiás, que estava oferecendo a “Picanha Mito” por R$22,00 no dia das eleições, são condenados por propaganda eleitoral irregular.
#Eleicoes2022",1.361,9.994,"101,6 mil"
Séries Brasil,@SeriesBrasil,2022-10-07T19:39:25.000Z," Lula sobre orçamento secreto de Bolsonaro: ""Se fosse bom para a sociedade, não precisaria ser secreto."" #Eleicoes2022",339,6.746,"55,1 mil"
