Username,Handle,Timestamp,Tweet Text,Comments,Retweets,Likes
CHOQUEI,@choquei,2022-10-17T23:33:04.000Z,"VEJA: Consumidores esgotam produtos da Limpol em forma de protesto contra a marca Ypê, após o dono da rede doar R$ 1 milhão para a campanha de Bolsonaro. #Eleições2022",2.868,"11,6 mil","112,3 mil"
Zé Trovão Deputado Federal,@TrovaoDas,2022-10-19T00:30:34.000Z,"Meus amigos caminhoneiros dia 30 de outubro está chegando, e peço que pare seu caminhão em ato cívico em prol do nosso país 
Precisamos reeleger nosso capitão e eu conto com vocês!

#Euvouparar #BolsonaroPresidente22 #Eleicoes2022 #Caminhoneiros",203,4.197,"12,5 mil"
Comunidade do Primeiro Café,@ComunidadeCafe,2022-10-19T11:10:00.000Z," PODCAST AO VIVO

Seguimos no ar no #PrimeiroCafe!

Lula participa de podcast de direita, tira onda de Neymar, chama Bolsonaro de Bozo e diz que o presidente se comporta como se fosse pedófilo #Eleições2022 

 Ouça:",,1,1
Séries Brasil,@SeriesBrasil,2022-10-18T23:19:16.000Z,"Lula: ""Eu acho que o Neymar tá com medo de eu ser eleito e descubra o acordo que o Bolsonaro fez com o pai dele."" #Eleicoes2022",480,4.524,"36,9 mil"
Matheus Pires,@mwapires,2022-10-19T11:09:45.000Z,"Nada como a experiência e a realidade da vida profissional.
@Poder360
 
#Eleicoes2022 
#Bolsonaro22",,1,1
Contagem Regressiva!,@ContadorQueda,2022-10-19T02:00:01.000Z,"Faltam 12 dias,  e 58 minutos para o 2º turno.

Faltam 74 dias, 14 horas e 59 minutos para o fim do governo do 'Militar' que não sabe atirar.

#Eleicoes2022 CARLUXO NA CADEIA",6,52,211
Metrópoles,@Metropoles,2022-10-19T15:22:21.000Z,"Lula participa de encontro com apoiadores evangélicos e divulga carta dirigida ao segmento religioso.

Ao final do evento, candidato a presidente pelo PT recebeu uma bíblia e orações.

#Eleicoes2022",62,106,519
CHOQUEI,@choquei,2022-10-18T17:30:58.000Z,"ATENÇÃO: No comício de Bolsonaro em São Gonçalo-RJ, dezenas de celulares e carteiras foram perdidas e não foram recuperadas.

O cerimonialista passou cerca de 20 minutos pedindo os pertences de volta e apelou: “pessoas de Bolsonaro não roubam”. #Eleições2022",828,2.759,"22,2 mil"
Sarah Nobre,@Sarahcnl,2022-10-19T11:09:24.000Z,"Está claro como um dia lindo ensolarado.
Um jornal opinativo sendo censurado e proibido de opinar. 
Imagina se essa senhor for eleito. Calará a todos prenderá quem fizer oposição?
A resposta é com vocês.
#ContraACensuraDoPT
#NaoACensuraDoPT 
#Eleicao2022
#Eleicoes2022",,2,1
Arthur Nascimento,@profarthurnasci,2022-10-14T02:20:48.000Z,"PÚLPITO NÃO É PALANQUE, CULTO NÃO É COMÍCIO.
#Eleicoes2022",,105,368
Séries Brasil,@SeriesBrasil,2022-10-18T23:14:41.000Z,"DATAPOVO: Lula ultrapassou a marca histórica de 1 MILHÃO de espectadores simultaneamente no Flow Podcast, contra apenas 573 mil de Bolsonaro. #LulaNoFlow #Eleicoes2022",130,1.277,7.213
CHOQUEI,@choquei,2022-10-17T00:36:22.000Z,"Lula: “Nenhum país te convida pra ir lá, e ninguém quer vir aqui, porque você só envergonha o Brasil”. #Eleições2022",385,8.425,"69,6 mil"
g1,@g1,2022-10-18T13:30:01.000Z,Pressão de pastores por votos em Bolsonaro leva evangélicos a expulsão ou abandono de igrejas em diferentes partes do Brasil http://glo.bo/3MUbTot #g1 #eleições,1.301,3.993,"20,3 mil"
João Henrique da Fonseca,@JHFonseca,2022-10-18T21:57:28.000Z,***FALA DE ALEXANDRE DE MORAES EM REUNIÃO COM ADVOGADOS DO PT…TIREM SUAS CONCLUSÕES. #eleicoes2022,12,231,623
