Username,Handle,Timestamp,Tweet Text,Comments,Retweets,Likes
Zé Trovão Deputado Federal,@TrovaoDas,2022-10-19T00:30:34.000Z,"Meus amigos caminhoneiros dia 30 de outubro está chegando, e peço que pare seu caminhão em ato cívico em prol do nosso país 
Precisamos reeleger nosso capitão e eu conto com vocês!

#Euvouparar #BolsonaroPresidente22 #Eleicoes2022 #Caminhoneiros",210,4.346,13 mil
CHOQUEI,@choquei,2022-10-17T23:33:04.000Z,"VEJA: Consumidores esgotam produtos da Limpol em forma de protesto contra a marca Ypê, após o dono da rede doar R$ 1 milhão para a campanha de Bolsonaro. #Eleições2022",2.869,"11,6 mil","112,4 mil"
Felipe Castanhari,@FeCastanhari,2022-10-16T15:23:25.000Z,"A verdade difícil de aceitar é que não existe vídeo capaz de tirar voto do Bolsonaro. 
Mesmo se ele aparecesse em um vídeo espancando crianças, ainda não perderia votos. Seus apoiadores questionariam “o que essas crianças esquerdistas fizeram para irritar o capitão?”",6.342,"43,4 mil","224,3 mil"
Séries Brasil,@SeriesBrasil,2022-10-18T23:19:16.000Z,"Lula: ""Eu acho que o Neymar tá com medo de eu ser eleito e descubra o acordo que o Bolsonaro fez com o pai dele."" #Eleicoes2022",480,4.551,"37,2 mil"
Comunidade do Primeiro Café,@ComunidadeCafe,2022-10-19T11:10:00.000Z," PODCAST AO VIVO

Seguimos no ar no #PrimeiroCafe!

Lula participa de podcast de direita, tira onda de Neymar, chama Bolsonaro de Bozo e diz que o presidente se comporta como se fosse pedófilo #Eleições2022 

 Ouça:",,1,1
Jornalistas Livres,@J_LIVRES,2022-10-19T15:28:41.000Z,Simone Tebet diz tudo e mais um pouco. #Eleições2022,8,151,361
CHOQUEI,@choquei,2022-10-17T16:28:19.000Z,"VEJA: ‘Padre’ Kelmon é expulso por crianças num bairro em Bauru-SP, ao fazer campanha para Bolsonaro. #Eleições2022",1.900,"14,2 mil","78,1 mil"
Célia Xakriabá,@celiaxakriaba,2022-10-19T15:05:08.000Z,"O STF já autorizou a gratuidade dos ônibus pelas prefeituras em todo o país no dia das eleições! 

Prefeitos de Minas, vamos aderir? É um ato democrático, garantindo um direito! 

#Eleicoes2022",5,31,137
CHOQUEI,@choquei,2022-10-18T17:30:58.000Z,"ATENÇÃO: No comício de Bolsonaro em São Gonçalo-RJ, dezenas de celulares e carteiras foram perdidas e não foram recuperadas.

O cerimonialista passou cerca de 20 minutos pedindo os pertences de volta e apelou: “pessoas de Bolsonaro não roubam”. #Eleições2022",832,2.788,"22,4 mil"
Séries Brasil,@SeriesBrasil,2022-10-18T23:14:41.000Z,"DATAPOVO: Lula ultrapassou a marca histórica de 1 MILHÃO de espectadores simultaneamente no Flow Podcast, contra apenas 573 mil de Bolsonaro. #LulaNoFlow #Eleicoes2022",132,1.282,7.231
Contagem Regressiva!,@ContadorQueda,2022-10-19T02:00:01.000Z,"Faltam 12 dias,  e 58 minutos para o 2º turno.

Faltam 74 dias, 14 horas e 59 minutos para o fim do governo do 'Militar' que não sabe atirar.

#Eleicoes2022 CARLUXO NA CADEIA",6,54,222
CHOQUEI,@choquei,2022-10-18T19:15:19.000Z,AGORA: Gusttavo Lima perde 120 mil seguidores após declarar apoio a Jair Bolsonaro. #Eleições2022,1.693,1.418,"23,9 mil"
