Username,Handle,Timestamp,Tweet Text,Comments,Retweets,Likes
CHOQUEI,@choquei,2022-10-10T22:16:34.000Z,"ATENÇÃO: O candidato Lula da Silva vai subir pela 1º vez nesta campanha em uma favela do Rio de Janeiro. Complexo do Alemão vai receber o ex-presidente em uma caminhada, quarta-feira, às 9hs da manhã. #Eleições2022",916,5.144,"66,8 mil"
Vote Lula 13,@sardinhaexpress,2022-10-11T02:22:38.000Z,"Tarcísio não tem experiência no executivo e chegou um dia desse em São Paulo.

Haddad dando aula no debate! 

#HaddadNaBand #DebateNaBand #Eleições2022",,2,5
POPTime,@siteptbr,2022-10-11T10:00:00.000Z,"CRAQUE DE JOGO! 

Em nova campanha para TV aberta, Lula expõe vídeo de Bolsonaro apoiando aborto e os 51 imóveis comprados com dinheiro vivo. #Eleicoes2022",30,1.369,6.309
CHOQUEI,@choquei,2022-10-10T19:29:18.000Z,BRASIL: Pai de Whindersson Nunes declara apoio a Lula: “Estamos com milhões de votos a mais. É 13!”. #Eleições2022,477,3.660,"61,8 mil"
CHOQUEI,@choquei,2022-10-11T13:34:29.000Z,POLÍTICA: PT decidiu acatar sugestão de Simone Tebet e dar preferência ao branco em vez do vermelho nos atos políticos. O objetivo é afastar visão do partido e abraçar imagem de campanha contra o governo atual. #Eleicoes2022,266,1.231,19 mil
TIA DO ZAP,@RuyGTR,2022-10-11T02:22:38.000Z,Tárcisio Aventureiro quer exportar o orçamento secreto para o estado de São Paulo. #DebateNaBand #Corrupcao #Eleicoes2022 #HaddadGovernadorSP1️⃣3️⃣,,2,3
POPTime,@siteptbr,2022-10-04T15:20:10.000Z," Em pleno Outubro Rosa, Governo Bolsonaro acaba de cortar verba de R$78 MILHÕES contra o câncer, a doença que mais mata no país, para bancar 'orçamento secreto' em 2023, afirma o Estadão.
#Eleicoes2022",1.145,"49,8 mil","183,1 mil"
Estadão,@Estadao,2022-10-10T21:25:00.000Z,"Kátia Abreu, ex-líder da bancada ruralista, declara apoio a Lula: 'não é uma ameaça às nossas fazendas e aos nossos negócios' #Eleicoes2022 https://bit.ly/3CnraZR",683,2.154,"10,2 mil"
CHOQUEI,@choquei,2022-10-08T17:37:35.000Z,"BRASIL: Carcereiro da Polícia Federal que ‘cuidou’ de Lula na prisão declara voto no petista: 

“Nunca o vi deprimido, na carceragem era um sujeito humilde e que sempre demonstrou gratidão e compaixão por quem estava ali com ele.” #Eleições2022",1.551,"11,8 mil","91,5 mil"
POPTime,@siteptbr,2022-10-05T02:59:31.000Z," DENÚNCIA: No Paraná, senhora de 64 anos é espancada por eleitores de Bolsonaro ao descobrirem que ela votaria no Lula. #Eleicoes2022",905,"12,6 mil","58,1 mil"
