Username,Handle,Timestamp,Tweet Text,Comments,Retweets,Likes
'Fisóyè,@eaglessight,2023-03-23T06:50:12.000Z,"You people know nothing.

Someone was arrested for cybercrime, instead of getting lawyers to be all over the issue, you're compounding his woes by bullying law enforcement all over social media.

You guys can't function in a proper world.

Lawless gen z.",12,69,202
minnie♡,@realvkk,2023-03-24T03:11:54.000Z,taehyung a peaceful old soul who likes slow dancing and jamming to jazz meanwhile jungkook a loud gen z pro full of lovely chaos and endearing energy,20,363,"2,379"
Santiago Mayer,@santiagomayer_,2023-03-24T17:48:18.000Z,"House Republicans just passed a bill to empower radicals to ban books, remove real history from schools, and bully LGBTQ+ students. 

They are once again proving that the Republican Party’s principal goal is to wage war on Gen Z.

They won’t win this fight.",13,224,556
Gia Macool,@GiaMMacool,2023-03-23T16:12:01.000Z,Why do Gen Z women want a traditional man without being traditional themselves?,40,33,285
The Yassification of Chinua Achebe,@Ethereal_ilo,2023-03-24T06:29:15.000Z,"Gen Z this, Gen Z that. Please shut up. We also watched this movie abeg.",25,195,852
Jonah Tillman,@JonahTillman6,2023-03-15T21:32:59.000Z,"On Wednesday, Texas officials declared a state takeover of Houston's public school district, which serves nearly 200,000 students and is the eighth-largest in the US.

We can't let this happen. Gen Z will keep holding Abbott accountable.",14,193,478
Ember the Mecha Wolf ☭,@MechaWolfEmber,2023-03-24T17:47:10.000Z,In case it wasn’t made clear with the TikTok hearing yesterday in Congress. Both Republicans and Democrats support banning TikTok because they don’t like Millennials & Gen Z organizing and sharing information. The two-party system has been playing people like a fiddle for DECADES,1,9,25
FELIX,@FellMentKE,2023-03-21T10:19:01.000Z,Gen Z's are a completely different breed   ,2,12,39
Ryan,@shrlwtweets,2023-03-22T16:41:18.000Z,album leaks are a thing of the past now because nobody from gen z knows how to rip a cd or even actually knows what that means either,12,44,265
Egbon Adugbo,@Osasbabyy,2023-03-19T19:14:41.000Z,"Walai, Gbadebo dey move like Gen Z.",13,72,498
yellow theCreator,@perkmaybe,2023-03-24T09:01:27.000Z,Gen Z lawyer: your honor you collect bribe con Dey cap na to drag you online remain,13,68,213
The Veeknd,@yuutvak,2023-03-24T19:39:45.000Z,Nigga everyone know stfu about Gen Z y’all aren’t 2000 years old,3,5,45
kenyanitohungi,@KenyanitoH,2023-03-21T13:06:07.000Z,"all the way.

#KgtoKsh #Baba #DjFatxo #Enigma #tirriestuesday #MuhohoKenyatta #boutross #Ramadan #GenZ #UhuruKenyatta",1,37,169
Two-piece Advocate,@frazierapproves,2023-03-23T18:11:01.000Z,"I’m not a linguistic prescriptivist, but I hate the way Gen Z misuses “aesthetic”",9,22,75
TCald,@ThatGuyTCald,2023-03-24T22:23:42.000Z,“Gen Z won’t understand this” and it’s something literally everyone understands,,3,41
Concrete,@not_your_keys,2023-03-18T13:17:20.000Z,Gen Z as soon as they discover NFTs,23,9,96
Erin Reed,@ErinInTheMorn,2023-03-19T21:19:01.000Z,"Trans kids forced to detransition or forced through the wrong puberty until 18 aren't going to thank anyone for these laws.

Instead, they'll be another generation the Republican party alienated over LGBTQ+ people. Like Millennials, Gen Z will continue to abandon conservatism.",159,"1,660",11.4K
ًًally,@harrysflor,2023-03-25T00:43:23.000Z,most gen z understand they just aren’t afraid of death,1,1,3
UG,@UgwunnaEjikem,2023-03-24T11:03:45.000Z,"The words “allegedly” “apparently” etc exist for one major reason; plausible deniability. Even Gen Z had to coin similar stuff; “streets are saying”.

Learn to use them when tweeting or talking about certain stuff, esp if you have a big platform. Selah.",8,196,584
jigyasa⤮ 0325 ♡,@ssickjisung,2023-03-24T10:50:35.000Z,so gen z he's seen all the memes.,1,5,42
ChocolateSwitchYT,@ch0c0latesw1tch,2023-03-25T00:03:30.000Z,Gen z will never understand,1,1,3
Based Brandon,@legit_scumbag,2023-03-23T04:11:50.000Z,Guys do I look gen z,10,1,34
Mark,@mstewart__1,2023-03-23T18:43:09.000Z,GenZ if tiktok gets banned,1,1,8
lana del rays sweet serial killer,@_sagemay,2023-03-20T19:45:24.000Z,gen z is the most misogynistic generation this side of the 70s,5,18,133
ProudArmyBrat,@leslibless,2023-03-17T04:03:08.000Z,"Want to share these texts with you, from my 20-yr old son, cause not ALL GENz kids are doomed. Depends how you raise them. Luke is determined to join our Special Forces. (Trying to talk him out of it for 2 yrs) Up at 4am, meditates, has a car but bikes to work, then hrs at gym.",46,33,376
Dr. Goodknight,@DrGoodknight,2023-03-24T22:21:07.000Z,"Me writing rec letters for Gen Z:

Fam:

Bro understood the assignment.  Flexed on his boards. Assessment and plans are fire.  Reliable af. Already functions as an intern.  No cap, on god.  

Bless up,
Dr Goodknight",11,6,112
Urban Jersey Guy,@UrbanJerseyGuy,2023-03-22T15:48:29.000Z,Gen Z and Millennials want starter condos in cities not starter homes in the exurbs.,17,75,"1,096"
b :),@KrolsCircus,2023-03-24T14:30:22.000Z,gen z have seen these movies too… like you guys are not as special as you think you are,4,5,79
joann,@thescammr,2023-03-24T22:19:30.000Z,gen z will lowkey Never understand apple’s best feature!! ,,2,19
azra,@huekaiboo,2023-03-24T19:41:20.000Z,it boys of gen z,1,,17
KingsBlood,@KBG_Garrett900,2023-03-24T07:44:26.000Z,"Gen Z: OMG are you guys really laughing at this? (In the most feminine way possible)

The rest of us: ABSOLUTELY",10,8,77
The Hustle,@TheHustle,2023-03-23T14:48:17.000Z,me telling my Gen Z coworkers how we used to put on hard pants and go into the office every day,3,12,43
Jess Teezn !,@jessteezn,2023-03-23T17:44:08.000Z,"This Repub RICHARD HUDSON DOESNT understand how wifi works!!! 
#GenZ #TikTok 
#VoteBIGblue",9,19,30
Caitlin Johnstone,@caitoz,2023-03-24T22:10:29.000Z,Everyone's always bitching about Gen Z but every metric shows they're just objectively better people than previous generations.,44,69,372
𖥻 alli !! ♡ dm 2 sponsor | #allisupremacy ☆,@someoneweirdest,2023-03-19T00:26:41.000Z,rt if ur gen z ,3,17,17
Arlen Parsa,@arlenparsa,2023-03-24T12:41:15.000Z,"Saw someone in Gen Z say they’re racking up credit card debt because they don’t think the world will be around long enough to have to pay it off

Don’t do this. Trust me. We could have a nuclear winter but JP Morgan Chase will absolutely still find a way to collect",8,63,745
Tucker Carlson's Nuts (Parody),@JStatePost,2023-03-24T16:12:20.000Z, Think about it Gen Z! ,,2,6
TheBatmanuel,@The_Batmanuel,2023-03-16T23:44:59.000Z,Gen Z is being played,1,1,3
,@lulufine_,2023-03-24T06:48:02.000Z,Some of these 30y/o be looking more GenZ than GenZs.,2,7,34
"Jason, ex Inferis",@benedictsred,2023-03-19T20:02:29.000Z,"Gen Z really watched millennials destroy Crocs and thought, “I can fix him.”",5,9,42
Ben Dreyfuss,@bendreyfuss,2023-03-24T18:01:11.000Z,This chart makes it look like some Gen Z allies got a little too comfortable with their new LGBT buddies and maybe stayed at the gay bar a little too late into the night and saw some things they weren’t ready to see,29,19,217
ChrisHazeArts.eth / .tez #MUFC,@PrinceChrisMUFC,2023-03-23T13:03:29.000Z,"Someone said he will sub Evra for Shaw and Vidic for Licha 

These Gen Z fans won’t finish me ",33,43,213
Madison,@MadisonTX766,2023-03-21T02:04:14.000Z,"Why is it that these young Gen Z kids want to praise communism yet they don’t want to live under their parent’s roof or follow their rules? 

Make it make sense.",69,39,308
Ben Collins,@oneunderscore__,2023-03-16T15:06:09.000Z,"The No. 1 way to permanently and irreparably nuke your chances with the Gen Z electorate is to be the party that takes credit for banning TikTok.

And, remember, they're going to outlive us all.",625,"1,262","7,676"
ɮɛռ’ɛ,@IAmBen_E,2023-03-20T21:31:20.000Z,"Told this girl at work I was 28 and she said, “OMG, you look so good for your age!”.. legit shocked

….. I said 28.. not 48.. NOT 58… 28 

Gen Z really think 28 is old?? I’m not accepting that",14,69,282
b | one team fight era,@swifttmelody,2023-03-23T01:33:47.000Z,"Fifi hitting a dab in 2023  she’s such a gen z athlete, I love it",,9,57
☻︎⤮MAXIDENT 2.37 AOTY⤮,@minchansidebae,2023-03-24T23:04:27.000Z,Leeknow represents all of genz,1,2,22
Gabriel Oguda,@gabrieloguda,2023-03-21T11:18:04.000Z,"They said Gen Z in Kenya only know how to order pizza at Kolenyo Fried Chicken, so our very own Gen Z reporter came out yesterday to bring you the news live on location.",127,522,"1,814"
AZZYC0R3,@AlMPUNCH,2023-03-24T22:55:07.000Z,"""gen z will never understand-"" yet i'm pretty sure almost every gen z knows this is a final destination reference",3,1,51
hunni,@bloodiedblkgwrl,2023-03-24T00:41:37.000Z,okay but an in-depth look on peaches and her effect on certain late millennial/gen z internet humor and stan culture would be fascinating because she really was a lowkey influencer in the worst way for a time,2,12,52
Nat,@cntrlrkive,2023-03-24T22:00:48.000Z,Do the older generations think all of gen z is like 15 or something????,8,5,89
Robert Redford is my president,@menaratinggi,2023-03-18T14:41:27.000Z,"that's why i trusted boomers more than gen z or millennials. 

""Semakin berisi maka padi akan semakin merunduk"" ",2,14,31
Teeshasmom,@Teeshasmom2,2023-03-23T13:32:13.000Z,"1 OF 3
There goes 
Cousin Jerry & his brother Jerry & his other brother Jerry, 
Oh & his sister Jerrylyn, too…

Giving away their Moonshine Money & EBT cards to their
Flourescent Tangerine Imbecile Snake Oil MAGAt Conman

#GenZ #Resist #ArrestTrump #VoteBlue",2,6,6
Southern Sister Resister - Wordsmith #IAmTheStorm,@ResisterSis20,2023-03-21T13:01:32.000Z,"The Great White Dope of the Republican Party does not understand that LGBTQ, Black Americans, and Gen Z voters will never allow him to be elected President. He is a weak man protected by White privilege who has no idea about the ass kicking he is about to receive.
#FreshStrong",40,438,995
ʀᴇᴍɴᴀɴᴛ.,@remnantposting,2023-03-22T17:02:34.000Z,"We're about to find out, I guess. Xers were the very first in small numbers, then lots of Millennials, and even more Gen Z

Gen Alpha (children of Millennials) will be an absolute trainwreck.",,2,28
Bloomberg,@business,2023-03-24T17:45:10.000Z,Gen Z is taking on debt faster than older generations — and falling behind on payments too,7,30,34
afra In halal era⁷DO NOT PUT SPOILERS ON MY TL,@hobipickles,2023-03-24T13:37:01.000Z,The most gen-z-est edit I've seen on TL today:,,2,6
AptosGenZ || Staking Live,@AptosGenZ,2023-03-19T18:32:18.000Z,Adding some new features!,2,3,10
Ladidahh,@ladidahhhhhh,2023-03-23T17:56:55.000Z,"It’s giving Biggie would say anything do make Tsatsii lose wager..first was they did too much..second wager, he said all forms of art and last minute said he expected drama..Omo now it’s that they didn’t include all the 1000 things GenZ do to make money in a board game?
#BBTitans",6,12,187
Cume Turles,@Cumesicle,2023-03-17T13:40:54.000Z,Heard Gen z was trying to cancel eminem... here's a little message to yall kiddies!,5,6,38
Hana (personal/non-Reba acct),@are0la51,2023-03-22T14:34:07.000Z,no bc its alarming that gen z genuinely uses tweets and TT as sources of information even if that information is incorrect. like TT is regarded as a documentary space rather than the advertising space it really is,1,36,162
Amaryllis⁷,@Euphoria_0136,2023-03-24T10:14:34.000Z,Idk something about JK learning English informal speech too  if he starts talking like a western GenZ idk what I'll do ,,,3
HeyFranny,@FrannyOD,2023-03-22T19:26:21.000Z,"Gen Z
Gen Z
Gen Z
How many times did I call you guys?
Hold your ears and hear me as I hear the Lord 
.
.
.
.
I love you all... I mean the OBIdient ones, the well-meaning Nigerians",8,42,70
#VoteBlueEveryElection & Turn Texas Blue,@JoeRobinEnjoyer,2023-03-19T14:28:54.000Z,Prediction: Gen Alpha will be the death to conservatism. It will build on the Millennial and Gen Z generations. They will turn many swing states including Texas blue.,6,39,111
AptosGenZ || Staking Live,@AptosGenZ,2023-03-20T08:57:12.000Z,"First Z arcade game- Rock Paper Scissor!
Time to refresh your childhood memory with AptosgenZ.
Will be live soon!",3,5,16
Book 21.,@mar_kibet,2023-03-24T11:02:44.000Z,"To GenZ parents:
Advocate for mixed gender schools, It's better to deal with early pregnancies than Homosexuality.",2,3,12
Calder B. Price,@calder_price,2023-03-17T16:21:08.000Z,"In a recent survey, 59% of GenZ-ers say they will never own a home.

Well, GenZ:
-If you live in your parent's basement
-Refuse to work
-Refuse to drive
-Demand college loans are repaid
-Claim you're a victim
-Stay glued to the iPhone
-Vote Dem
...yes, you'll NEVER own a home.",7,24,46
Nqobile B,@nqobile_blose,2023-03-22T10:42:22.000Z,"iPeleng: Thabang this is giving Genz 

Thabang: no it's giving Magogo
#BBTitans  #Khobang",3,6,53
Joostin Engage Spoilers,@Dweeb_Justin,2023-03-24T23:40:35.000Z,"Hi, Gen Z person here. I know what Final Destination 2 is dingus",3,1,18
Paul Joseph Watson,@PrisonPlanet,2023-03-22T18:45:35.000Z,"The ""stigma"" that means it's constantly talked about all the time, to the point where many Gen Z now think it's abnormal not to have some kind of mental illness.",101,365,"2,460"
Jessamine,@JessamineBeauty,2023-03-23T09:24:50.000Z,"They have all put so much detail into this GenZ board game I hope biggie appreciates

BIKINI QUEEN TSATSII 
TSATSII QUEEN OF Titans #BBTitans",,6,14
Official E4 PAO,@JackHDando,2023-03-21T01:06:53.000Z,"Lots of threads on the invasion of Iraq, I was born in 2001. And the way my Gen Z views the GWOT is very different from other generations.",6,11,25
DANTE DIDO,@dantexdido,2023-03-20T01:37:04.000Z,I love how Memoirs is the Gen Z Daydream. Now we just need Candy Bling to go viral.,17,47,393
jin,@ugnMT,2023-03-17T15:00:58.000Z,"Im still a gen z. Idk whats so hard to get dito sa tweet ni maam. Shes simply asking for common courtesy sa email. Bat ang daming hanash ng mga ""gen z"" kuno dito?!? (yep the ones im seeing na nag-disagree kay maam ay pushing 30s-looking na) But i agree, emojis should be allowed",7,28,363
Newtown Action Alliance,@NewtownAction,2023-03-24T16:20:39.000Z,"The first Gen Z member of Congress 
@MaxwellFrostFL
 has grown up during #GenerationLockdown & now he will be able to vote to pass #BanAssaultWeapons & other lifesaving gun laws! #EndGunViolence",11,57,291
Elisheva Marcus,@ElishevaMarcus,2023-03-24T09:07:32.000Z,"Pop quiz, Gen Z: what is this? ",11,2,11
Camilla B,@TheAutisticDoc,2023-03-24T09:37:11.000Z,"The difference with the 2016 junior doctor strikes and those happening in 2023 is that since then #GenZ has entered the workforce and they simply 
do 
not 
f*ck 
about 



Sincerely, 

A grateful millennial 

#JuniorDoctorsStrike 
#PayRestoration
#NHSStrikes
#EnoughIsEnough",5,8,186
(｡◠‿◠｡) (｡=‿=｡),@jaehyun_source,2023-03-24T01:59:31.000Z,"230323 
@repubblica
 
la Repubblica PRESS

Jisoo, Jennie, Jaehyun, Park Seo-joon: perhaps at first glance (especially if you don't belong to Gen Z) these names don't tell you much, yet they are able to move capital just by being mentioned.

#JAEHYUN #재현 
@PRADA
 #PRADAXJAEHYUN",1,272,332
Brooke Lynn Hytes,@Bhytes1,2023-03-19T14:34:46.000Z,I love how Gen Z will just find random words in the English language and make it their whole personality.,152,308,"6,024"
Lexi (new acc),@lexisvexi,2023-03-24T20:29:15.000Z,half of gen z are well in their 20s,,1,26
Casper,@NoItsNotCasper,2023-03-18T02:01:08.000Z,"Media & General Public for 37 years: REGINE VELASQUEZ, ASIA'S SONGBIRD AND THE PH'S BEST SELLING ARTIST OF ALL TIME. 

Gen Z tiktokers:",,26,57
𝔗𝔯𝔲𝔱𝔥 𝔐𝔞𝔱𝔱𝔢𝔯𝔰,@politicsusa46,2023-03-17T10:33:09.000Z,"This is Clara (boatateab4by) on TikTok. Attribution IS important.

She is the very reason GenZ are critical in these times of MAGA dystopian aspiration. The GOP is no longer a political party, it’s just a bunch of political thugs, hiding behind religious distortion and…",6,99,135
Isabela Huckabee,@astrohuck,2023-03-23T10:31:32.000Z,i will never forgive the internet for making gen z think they have to listen to music every time they shower. leave that bluetooth speaker at the door. now stand silently under a stream of water and contemplate boi,4,4,47
Voters of Tomorrow,@VotersTomorrow,2023-03-24T18:48:49.000Z,"Students should be the primary stakeholders in their education. 

H.R. 5 is a dangerous bill that allows extremists to ban books, hurt LGBTQ+ youth, and damage children’s education. 

This is a continuation of the far right’s war on Gen Z. We must defeat them.",1,34,93
nina,@ughsoverit,2023-03-24T02:37:24.000Z,Gen z is constantly trying to cancel actual real people it’s insane. I thought millennials were bad with that back in the day. That generation is a whole other breed smh.,2,2,32
Tontawan Official,@Tu_ttwOfficial,2023-03-24T18:58:40.000Z,"Gen z 

IGs : minkie_mk : Update 

#tontawan_t #tontawan
#intuyou",,34,128
emma,@strawberry_emu,2023-03-24T17:12:27.000Z,"please take a minute to read a quick thread

it is not ageist for gen z to want their own safe space. being on the team at 
@genzgenealogy
 has shown me the shockingly large amount of grown adults who find issues with literal teenagers and young people wanting a safe space.",5,13,31
Yumi⁷,@risti_ic,2023-03-21T14:03:16.000Z,"#HouLang Weibo update; 

With the twenty-four solar terms as the line, you can taste the flavors of life and enjoy the beauty of traditional culture. 

They really posted 24 posters? 
#ZhaoLusi #WuGang #LuoYizhou #GenZ",3,74,200
Prince Apenteng,@growingsteadily,2023-03-21T02:49:23.000Z,"I have heard a lot about high-income skills. I decided to take action, by learning the very first skill that has rewarded more everyday people including GenZ (s) in the digital space, affiliate marketing.

I hit a $100 in less than 69 days. Thank you 
@joshuakingtl
 and 
@digitstem",4,10,46
Yves' Pinned Tweet,@AdamantxYves,2023-03-23T23:34:19.000Z,Whoever it was that said Gen Z yts dress like they're on Seinfeld wasn't lying....,4,39,292
"B-DAY 3/30, 🩵 Cozy",@cozychiyo,2023-03-18T15:33:03.000Z,can u guys fill the comments with what gen z lawyers would say ,27,1,36
Congresswoman Jasmine Crockett,@RepJasmine,2023-03-24T16:03:13.000Z,"A little over 5 years ago, a gunman stole innocent lives of high schoolers in Florida & wrecked the lives of loved ones. 
@AMarch4OurLives
 got to work & has demanded better ever since. I'm wearing my pin today...#GenZ deserves to be so much more than Generation Lockdown.",9,47,378
roses ⁷ 아포방포,@lahsnirf,2023-03-24T14:28:13.000Z,Watch Jimin have a meltdown halfway thru over genz slang.,,1,13
elan,@mantisbladed,2023-03-24T22:44:16.000Z,Gen Z will never understand why Millennials need to pass this truck as quickly as possible.,1,1,13
A⁷,@a_girlwitluv,2023-03-24T04:09:56.000Z,"""im feeling so alive, wasting time"" this line is gonna break me, this captures so perfectly the millenial / gen z anxiety of saving for the future being pointless because we'll never afford a mortgage so the only thing there is to do is the infamous avocado toast and carpe diem",,16,60
𝐋•,@clarkkent415,2023-03-22T18:49:29.000Z,"Gen Z really hate Bron, this Steph agenda might win the war in the end LOLOLOL.",19,27,263
SerekWiejski,@cesarzowa_a,2023-03-23T19:07:35.000Z,GenZ moment,1,,1
kaylee,@grohlsfreshpots,2023-03-22T18:24:36.000Z,Courtney using gen z 'slang' is so funny omg,5,2,39
NBC News,@NBCNews,2023-03-24T13:03:03.000Z,"A new poll studying the attitudes of younger American voters finds that Gen Z voters oppose banning TikTok while millennials support a prohibition, even as a majority of all these younger voters express concerns about China misusing the social media app.",48,28,67
leo,@leoscomfort,2023-03-24T16:46:40.000Z,i need a thread of all the gen z translations in sml,1,,13
Tete* GEN Z IT BOY,@SayaniPramanic3,2023-03-24T13:55:02.000Z,"Wooshik: ""Taehyungah you did well""

MOST HANDSOME CHEF V
#JinnysKitchenEp5
#TaehyungOnJinnysKitchen",1,7,6
Peter Wrangel,@PeterWrangel,2023-03-24T16:00:03.000Z,And we wonder why Gen Z is turning hard towards Socialism,1,1,36
Genz ★彡,@SkyGenz,2023-03-24T21:32:42.000Z,"Damn, I look like a respectable young man",2,,7
Shivam Vahia,@ShivamVahia,2023-03-24T07:56:59.000Z,"Faye Dsouza is so popular not for her journalism but for the safe haven or echo chamber she provides to the average Bandra Gen Z.

Cherry pick the woke, Ardern-certified angles and thrust it down gullible, lazy throats.",7,32,230
a man could be laughing and here comes a swiftie,@radfemswiftie,2023-03-16T03:16:16.000Z,"men really thinks women are just inherently a bunch of boring unfun killjoys who could NEVER understand the childish wonder of doing silly shit, as if we haven’t been constantly scolded to suppress any semblance of an inner child for our entire lives",32,410,"5,625"
Morning Brew,@MorningBrew,2023-03-23T14:09:59.000Z,"Going to Sicily this summer? So is everyone else, thanks to HBO.

70% of Gen Z and millennials say they've been inspired to travel to a destination after seeing it on screen, per a new report by American Express.",9,32,522
RealLifeSquidward,@EverydayAilment,2023-03-18T01:14:17.000Z,A ban on TikTok would almost certainly kill the Gen Z vote for Democrats.,7,,7
Madam President: Ifeoma Awokoya ELITE Buharist,@iyaboawokoya,2023-03-17T15:23:45.000Z,"During ENDSARS, the palace of the Oba of Lagos was burnt and ransacked, the High Court burnt, Forensic lab burnt, uncountable BRT buses burnt and all from bullying. People right on this app were directing the destruction of Lagos, egged on by genz Yoruba youths who joined woke…",29,263,652
Blessed iya Chinedu,@Girl_isBlessed,2023-03-21T18:44:57.000Z,"Isn't it amazing how Peter Obi's candidacy taught many of us things we never knew. 
Many people never knew about party delegates and what they do until last year. Now, see all of us reading scanned copy of a court case, including gen Z.
Gen Z don dey quote constitution.",9,199,439
Confude.genz,@GeonLong,2023-03-24T16:43:01.000Z,Need spotify inplan 1 bulan harga r #zonauang,7,,
-_-,@X_XIX_VIII,2023-03-23T17:22:06.000Z,"Based. Leech money out of brain-dead Indian crowd (mostly millennials and Gen z) in the name of Rap and Tractor Showbiz, use the money to further your political agenda by hiring goras to speak on your behalf, fund huge rallies and make Khalistan Mainstream topic.",,3,19
천둥 สายฟ้า,@saifahncd,2023-03-18T18:17:30.000Z,GENZ POP Dance Medley #Mbitious #KCON2023THAILAND #엠비셔스,,33,52
