Username,Handle,Timestamp,Tweet Text,Comments,Retweets,Likes
CHOQUEI,@choquei,2022-10-10T22:16:34.000Z,"ATENÇÃO: O candidato Lula da Silva vai subir pela 1º vez nesta campanha em uma favela do Rio de Janeiro. Complexo do Alemão vai receber o ex-presidente em uma caminhada, quarta-feira, às 9hs da manhã. #Eleições2022",923,5.204,"67,4 mil"
Moderate Trumper,@Lite_Maga,2022-10-10T15:45:58.000Z,"The Brazil polls election is now Tied!!!
https://economist.com/interactive/brazil-2022…

#Brazil #Lula #Bolsonaro #Brasil #Eleicoes2022 #brazilelection",,4,9
CHOQUEI,@choquei,2022-10-10T19:29:18.000Z,BRASIL: Pai de Whindersson Nunes declara apoio a Lula: “Estamos com milhões de votos a mais. É 13!”. #Eleições2022,494,3.674,"62,1 mil"
POPTime,@siteptbr,2022-10-11T10:00:00.000Z,"CRAQUE DE JOGO! 

Em nova campanha para TV aberta, Lula expõe vídeo de Bolsonaro apoiando aborto e os 51 imóveis comprados com dinheiro vivo. #Eleicoes2022",31,1.387,6.414
CHOQUEI,@choquei,2022-10-11T13:34:29.000Z,POLÍTICA: PT decidiu acatar sugestão de Simone Tebet e dar preferência ao branco em vez do vermelho nos atos políticos. O objetivo é afastar visão do partido e abraçar imagem de campanha contra o governo atual. #Eleicoes2022,269,"1.267
1.263","19,8 mil"
Estadão,@Estadao,2022-10-10T21:25:00.000Z,"Kátia Abreu, ex-líder da bancada ruralista, declara apoio a Lula: 'não é uma ameaça às nossas fazendas e aos nossos negócios' #Eleicoes2022 https://bit.ly/3CnraZR",694,2.171,"10,3 mil"
Camila Júlia,@cj_cabo,2022-10-03T00:13:59.000Z,"Brazil im devastated 

#Eleicoes2022",4,13,107
POPTime,@siteptbr,2022-10-05T02:59:31.000Z," DENÚNCIA: No Paraná, senhora de 64 anos é espancada por eleitores de Bolsonaro ao descobrirem que ela votaria no Lula. #Eleicoes2022",905,"12,6 mil",58 mil
POPTime,@siteptbr,2022-10-04T02:38:13.000Z," Gusttavo Lima e o seu Frigorífico Goiás, que estava oferecendo a “Picanha Mito” por R$22,00 no dia das eleições, são condenados por propaganda eleitoral irregular.
#Eleicoes2022",1.361,9.992,"101,6 mil"
Hunica,@Hunica_,2022-10-03T04:08:31.000Z,Eu indo dormir. Obrigada Nordeste #LulaNoSegundoTurno #Eleicoes2022,10,69,622
Jornalistas Livres,@J_LIVRES,2022-10-11T17:23:58.000Z,"“Eu decidi pelo seguinte. Como conheço Bolsonaro, quem conhece Bolsonaro como eu conheço vota em Lula”. #Eleições2022",1,18,55
CHOQUEI,@choquei,2022-10-07T19:54:47.000Z,"AGORA: Após ser chamado de ‘pinguço’ por Bolsonaro, Lula responde: “Eu não estou preocupado em brigar contra o Bolsonaro. Eu quero brigar contra a fome, contra a falta de investimentos na educação.” #Eleições2022",547,4.721,"29,4 mil"
POPTime,@siteptbr,2022-10-11T02:05:48.000Z," A bolsonarista Damares Alves poderá ser condenada por prevaricação, por não tomar atitudes que condenem a denuncia apresentada por ela.

Damares afirma ter visto casos de abuso infantil, mas só trouxe isso a toma agora, no 2º turno das #Eleicoes2022!",105,1.239,9.196
Séries Brasil,@SeriesBrasil,2022-10-07T19:39:25.000Z," Lula sobre orçamento secreto de Bolsonaro: ""Se fosse bom para a sociedade, não precisaria ser secreto."" #Eleicoes2022",339,6.746,55 mil
UpdateCharts,@updatecharts,2022-10-07T20:42:15.000Z,"Fernanda Montenegro, uma das maiores atrizes do Brasil, declara voto em Lula. #Eleições2022",1.137,4.828,58 mil
CHOQUEI,@choquei,2022-10-09T18:49:36.000Z,"VEJA: O candidato Lula da Silva cumpriu agenda na Praça da Liberdade, hoje, em Belo Horizonte-MG, estado onde ele ganhou no 1º turno contra Jair Bolsonaro. #Eleições2022",354,1.836,"19,3 mil"
POPTime,@siteptbr,2022-10-05T23:09:11.000Z," URGENTE: Bolsonaro acaba de chamar todo o Nordeste de analfabetos e diz que as altas taxas de analfabetismo são culpas do PT.

O Nordeste teve 7 das 10 notas 1000 do Enem 2022.
#Eleicoes2022",7.287,"35,1 mil","104,7 mil"
Francimar Vieira,@FrancimarBrito,2022-10-09T01:44:46.000Z,"Quem você deseja que seja presidente do Brasil?
#Eleicoes2022 #Bolsonaro #Lula #Enquete #eleicoes",3,37,43
POPTime,@siteptbr,2022-10-07T15:24:52.000Z," JOGA Y JOGA! Campanha eleitoral de Lula acaba de expor falar de Bolsonaro afirmando que comeria carne humana.
#Eleicoes2022",395,8.700,"43,4 mil"
CHOQUEI,@choquei,2022-10-08T17:37:35.000Z,"BRASIL: Carcereiro da Polícia Federal que ‘cuidou’ de Lula na prisão declara voto no petista: 

“Nunca o vi deprimido, na carceragem era um sujeito humilde e que sempre demonstrou gratidão e compaixão por quem estava ali com ele.” #Eleições2022",1.551,"11,8 mil","91,5 mil"
Séries Brasil,@SeriesBrasil,2022-10-05T19:09:21.000Z," Simone Tebet declara oficialmente apoio a Lula no 2º turno da eleição presidencial. 

A ex-candidata obteve 4.9 milhões de votos no 1º turno. #Eleicoes2022",436,8.483,"64,4 mil"
CHOQUEI,@choquei,2022-10-05T02:56:20.000Z,"BRASIL: Bolsonaro decide visitar policiais militares que estão internados em um hospital de SP nesta noite e é vaiado por médicos e enfermeiros: “Olha a covardia, por que não veio na pandemia?”. #Eleições2022",210,3.961,17 mil
ingrid,@yoonieprince,2022-10-04T13:33:41.000Z,"PALAVRAS DO PADRE PAULO RICARDO SOBRE UM CATÓLICO FAZER PARTE DA MAÇONARIA.

BOLSONARO SATANISTA / Fake News / MUITO GRAVE / Baphomet / #Eleicoes2022 / Daciolo / Bozo",654,4.275,"14,9 mil"
Tracklist,@tracklist,2022-10-03T11:28:30.000Z,"Lula obteve a maior votação da história de um candidato à presidência do Brasil no primeiro turno com mais de 57 MILHÕES de votos 

#Eleicoes2022",277,5.643,48 mil
Flávio Lima,@Flaviolima2022,2022-10-11T17:17:43.000Z,"Qual será o preço da gasolina no dia 31/10 ?
#Eleicoes2022 #LulaPresidente1️⃣3️⃣",,,
Ananda Marques,@abmrqs,2022-10-10T15:53:15.000Z,"Como votou o Maranhão nas #Eleicoes2022 para presidente? 

Lula venceu em 214 municípios, Bolsonaro em 3.",2,20,109
João Henrique da Fonseca,@JHFonseca,2022-10-11T02:43:08.000Z,"Esse cara é muito preparado. Se ganhar, será uma honra ter esse carioca comandando São Paulo. Não sou xenofóbico como a esquerda paulista se mostrou. 
@tarcisiogdf
 é bem-vindo. #Eleicoes2022",1,5,126
Cortes do Kogos | #FizParteDos33k,@cortesdokogos,2022-10-10T03:06:55.000Z,"Será que desenhando os isentões passam a entender a gravidade da situação?

#Eleiçoes2022 #bolsonaro #BolsonaroPresidente22",1,5,18
Politize! #OlheVoteMude,@Politize,2022-10-10T18:34:02.000Z,"Não caia em fake news! 

 Quem não votou no primeiro turno, pode votar SIM no segundo! 

#OlheVoteMude #Eleições2022",8,27,64
iamtulioabdull,@tulioabdull,2022-10-11T17:30:18.000Z,"#eleicoes2022 Tomara que você 
@LulaOficial
  NÃO tenha 4 anos de governo, soh assim pra evitar que você e sua corja voltem a saquear o país.",,,
98h98,@98s53300231,2022-10-11T16:23:21.000Z,"Tô querendo mandar foto do pau. Mas só pra quem chamar na dm
#Eleicoes2022 
#PINTOAWARDS",,,7
POPTime,@siteptbr,2022-10-06T16:02:08.000Z,Eita como esse kingo hablou sobre o Nordeste! #Eleicoes2022,404,6.245,"20,4 mil"
CHOQUEI,@choquei,2022-10-10T21:12:48.000Z,"VEJA: A cantora Giulia Be foi acompanhada do pai ex-bolsonarista, Paulo Marinho, e do namorado Conor Kennedy, sobrinho do ex-presidente dos Estados Unidos, John Kennedy, em um evento do Lula no Rio de Janeiro. #Eleições2022",86,487,5.804
Prof. Ricardo Klinker,@klinker_,2022-10-10T11:44:01.000Z,"O bolsonarismo se tornou uma SEITA DE LUNÁTICOS que enxerga o paraíso onde  no CAOS e chamam de ""MESSIAS"" um bandido mentiroso. Fecham os olhos para os fatos e acreditam só nas narrativas que vêm do MITO! #LulaPresidente1️⃣3️⃣ #BolsonaroCanibal #Eleicoes2022",3,15,78
hiagocosta28,@hiagocosta28,2022-10-11T15:42:09.000Z,"Maneiro é você brincar com coisa séria, seu bandido… #Eleicoes2022",,,1
Jocaffi Breda,@jocaffi,2022-10-11T16:18:16.000Z,Direita x Esquerda #politica #eleicoes2022,,,
Marinhos mascarado (N95/PFF2) e reforçado com a D4,@marinhos,2022-10-11T17:30:17.000Z,"Lira abusa do direito de ser ordinário.

https://bit.ly/3CmC7Ln

#Eleicoes2022 #PesquisasEleitorais #ArtgurLira #CamaFederal #ProjetoDeLei",,,1
Domador de Gado,@domadordegado,2022-10-11T03:41:45.000Z,"O Ciro Gomes explicou uma diferença básica entre 
@LulaOficial
 e Bozo. #Eleicoes2022",,6,11
Natan Queiroz,@NatanQueiroz09,2022-10-11T13:13:39.000Z,"Desmentido fake news. 
#LulaPresidente1️⃣3️⃣ #Eleicoes2022 #LulaPresidente2022 #Brasil #13 
@LulaOficial",,2,1
Savio Benevides (Vinho),@vinho1983,2022-10-10T12:21:44.000Z,"Em meio ao caos do aeroporto de Congonhas, ícones fazendo o L pra todo Brasil ao vivo, de forma discreta, mas a gente captou a mensagem! #Eleicoes2022 #LulaPresidente1️⃣3️⃣",2,9,57
