Username,Handle,Timestamp,Tweet Text,Comments,Retweets,Likes
Alexandria Ocasio-Cortez,@AOC,2022-11-09T15:42:36.000Z,"The role of young people in this election cannot be understated. Turnout delivered on many of these races.

By 2024, Millennials & Gen Z voters will outnumber voters who are Baby Boomers and older, 45/25.

We are beginning to see the political impacts of that generational shift.",642,3.399,"22,4 mil"
David Hogg,@davidhogg111,2022-11-09T10:55:57.000Z,"Gen Z voters just saved Democrats ass. 
Don’t forget it.",2.723,5.543,"56,4 mil"
John Della Volpe,@dellavolpe,2022-11-09T03:52:08.000Z,"One thing I know already. 

If not for voters under 30 ... tonight WOULD have been a Red Wave.

CNN National House Exit Poll

R+ 13    65+
R+ 11    45-64

D +2      30-44
D +28   18-29

#GenZ did their job.",2.830,"22,1 mil","132,8 mil"
Pedro Pascal he/him,@PedroPascal1,2022-11-09T14:18:04.000Z,Gen Z saving us from the world we’ve given them ,230,1.200,18 mil
Maxwell Alejandro Frost,@MaxwellFrostFL,2022-11-09T01:19:29.000Z,"WE WON!!!! History was made tonight. We made history for Floridians, for Gen Z, and for everyone who believes we deserve a better future. I am beyond thankful for the opportunity to represent my home in the United States Congress. #FL10",3.651,"19,1 mil","175,3 mil"
Victor Shi,@Victorshi2020,2022-11-09T07:14:25.000Z,"Before I log off for a few hours, I want to say how freaking proud I am of Gen Z and young voters. If anything is clear it’s that young voters prevented a Red Wave and saved democracy because we turned out at historic rates. As they say, the youth are alright. See you all soon.",384,3.545,"26,2 mil"
Joe Vogel,@JoeVogel_,2022-11-09T02:15:51.000Z,"My name is Joe Vogel, I’m a 25 year-old immigrant, and I just won my race to become the first GenZ legislator in Maryland.

The generational challenges we face call for a new generation of leadership. I’m ready to fight for the future of my community, my state, and my country.",662,3.555,"30,3 mil"
Santiago Mayer,@santiagomayer_,2022-11-08T09:35:27.000Z,"Gen Z is about to end the careers of several Republican politicians. 

They pissed off the wrong generation.",2.185,6.068,"50,4 mil"
Harry Sisson,@harryjsisson,2022-11-05T19:23:30.000Z,I just voted blue all the way down the ballot! Proud to be a Gen Z voter!,2.874,5.174,"43,8 mil"
Rager Blade,@RagerBlade,2022-11-09T11:07:09.000Z,"What a good day, Red Wave came and it was a puddle. You Lost Gop, all thanks to Gen Z. The future does not bold well for your party, When boomers are gone, your party will be in shambles. Your ideals, your values. Are not welcome.",517,581,4.994
Adrienne Mahsa Varkiani,@AdrienneMahsa,2022-11-09T00:49:56.000Z,"BREAKING: Maxwell Frost wins in Florida, becomes first Gen Z and Afro-Cuban member of Congress",270,5.573,"52,9 mil"
Bolsominions Derrotados (Regreta p/ os íntimos),@bolsoregrets,2022-11-09T07:20:37.000Z,"Os números indicam que o voto jovem estragou os planos dos republicanos de ter um tsunami vermelho. 

As pesquisas (feitas em maioria por telefone) não levaram em conta que a GenZ prefere morrer do que atender uma ligação de número desconhecido. Mas eles votaram.

Taí o resultado",70,816,"16,7 mil"
Jack Cocchiarella,@JDCocchiarella,2022-11-08T05:32:33.000Z,"The GOP is about to meet Gen Z, and I promise you they won’t like us.",4.351,6.022,"45,1 mil"
Kate,@ImSpeaking13,2022-11-08T18:35:14.000Z,"I’ve always said Gen Z will save the world. Gen Z gets gun violence. They get racism. They saw what happened with COVID-19. They are wicked smart and inclusive beyond measure.

But pair them with every self respecting woman in America and what you get is unstoppable.",60,533,2.057
Victor Shi,@Victorshi2020,2022-11-09T11:10:54.000Z,"Good morning. My biggest takeaway of the night about young voters is never underestimate us. You came after our lives, rights, & identity? Guess what: you pay the price at the ballot box. This election, Gen Z sent Republicans a clear message: go home. Now, time to catch a flight.",100,831,5.979
Jack Cocchiarella,@JDCocchiarella,2022-11-09T12:14:19.000Z,"Last night Republicans met Gen Z for the first time, and I promise you they didn’t like us.",164,725,5.119
Santiago Mayer,@santiagomayer_,2022-11-09T14:32:47.000Z,"Republicans: history says we will have a red wave 

Gen Z: no ",70,454,3.790
NextGen America,@NextGenAmerica,2022-11-08T16:21:36.000Z,"BOOM: In Pennsylvania, 74,194 young Democrats voted early this year, compared to 2018 where only 17,633 voted early.

Gen Z says HELL NO to MAGA extremism!",343,3.965,"19,4 mil"
David Rothkopf,@djrothkopf,2022-11-09T11:47:05.000Z,"Gen Z to the rescue. A development not just because of what it means for last night but because it is the beginning of a generational sea change in American politics.

At last.",105,1.043,5.928
Rachel Vindman,@natsechobbyist,2022-11-09T08:29:15.000Z,"I am so freaking proud of women and Gen Z. 

My pinned tweet from weeks ago was right: Ignore the polls and VOTE.",53,512,6.496
The New York Times,@nytimes,2022-11-09T01:29:07.000Z,"Gen Z officially has a seat in Congress. 

Maxwell Alejandro Frost, a 25-year-old Democrat, won his election on Tuesday in Florida’s 10th Congressional District over Calvin Wimbish, a Republican.",153,2.519,"16,8 mil"
Reed Galen,@reedgalen,2022-11-09T07:54:06.000Z,Gen Z is saving the country at the ballot box. Fixed it for you.,34,332,3.014
David Hogg,@davidhogg111,2022-11-04T12:21:23.000Z,"What’s the biggest difference between Gen Z and other generations? We have never seen america united. Ever. We have been perpetually let down by a political system that failed to address school shootings, climate change, lack of economic opportunity, cost of living and more.",1.759,1.868,9.780
Ayman,@AymanM,2022-11-09T04:27:37.000Z,"Some of tonight’s history making winners so far:
Wes Moore - 1st African American Gov of MD
Kathy Hochul - 1st woman elected Gov in NY
Maxwell Frost - 1st Gen Z elected to the House
Ruwa Roman - 1st Muslim elected to the GA State Legislature 

Add if I’ve missed any",134,1.705,9.123
Angry Staffer,@Angry_Staffer,2022-11-09T16:25:27.000Z,"Black voters and women (as usual) turned up huge for the Dems. 

Gen Z needs an honorable mention, too — if they keep voting like this, the GOP is in trouble for a long time.",32,241,1.286
Rick Wilson,@TheRickWilson,2022-11-09T15:20:28.000Z,"My friend 
@Victorshi2020
 kept beating the drum that Gen Z turnout would shock the hell out of people in this election.

He was absolutely right.",142,974,7.677
America Is Musty,@DragonflyJonez,2022-11-09T14:13:13.000Z,GOP bout to look desperate and cringey as fuck going after the Gen Z vote now. Hope y'all ready for some Ted Cruz tik tok challenges,49,469,2.768
Samantha Marika,@samanthamarika1,2022-11-09T15:18:12.000Z,Gen Z is a bigger problem than we think...,833,584,5.866
Marianna Pecora,@MariannaPecora,2022-11-08T21:16:11.000Z,"UPDATE: I just talked to my friend at University of Michigan again. She’s been waiting two hours—not to vote, but to register— and she’s still in line. 

Take a look at all the other young voters in line with her…Gen Z will not give up until they can cast their ballots.",114,798,3.360
Lynda Carter,@RealLyndaCarter,2022-11-09T14:45:17.000Z,Proud of millennials and Gen Z.,20,93,1.124
Jack Cocchiarella,@JDCocchiarella,2022-11-09T05:05:19.000Z,Gen Z is the reason Democrats will be expanding our House and Senate Majority.,121,682,5.001
Jon Cooper,@joncoopertweets,2022-11-08T19:58:31.000Z,"Haters:Young people don't vote.
Texas Gen Z & Millennials: LOLZ ",258,1.517,8.901
Harry Sisson,@harryjsisson,2022-11-05T00:57:16.000Z,"Gen Z is voting in huge numbers. Republicans didn’t anticipate this, and now they’re panicking",536,2.003,"11,6 mil"
Fight Like A Mother!,@eainsaunt,2022-11-09T14:36:07.000Z,"Last night democracy won. Thanks in large part to Gen Z voters, last night America rejected MAGA extremism. #MAGAmeltdown",10,28,131
Jo,@JoJoFromJerz,2022-11-09T15:05:11.000Z,"Thank you, Gen Z.
Thank you.",136,598,5.948
Pop Crave,@PopCrave,2022-11-09T01:48:32.000Z,"Maxwell Frost, 25, set to become the first Gen Z member of Congress, NBC News projects.",189,2.531,"30,4 mil"
Jack Cocchiarella,@JDCocchiarella,2022-11-07T18:17:45.000Z,"Lines are OUT THE DOOR at the University of Michigan’s on-campus voting center. 

Gen Z continues to turn out in historic numbers to vote!",1.318,2.747,"14,8 mil"
Dr. Rebecca Brückmann,@historleans,2022-11-09T13:35:01.000Z,"So much to analyze, so little time... But: 1. Pass the John R. Lewis Voting Rights Advancement Act. 2. When they go low, you fight back because lives depend on it. 3. Thank you to so many Gen Z folks and the voting force of Black women, who continue to show up and show out.",,139,734
"Mueller, She Wrote",@MuellerSheWrote,2022-11-09T16:34:12.000Z,"I’m so proud of Gen Z. How many times have I referenced 
@BarackObama
 on 
@PodSaveAmerica
 after the 2016 election saying young people will wash over America in a wave of hope? Too many to count!",11,96,615
Catter,@Catter65422769,2022-11-08T15:17:24.000Z,"""Gen Z ก็เก๋ได้” กับแคมเปญ ""Friend of sacit"" 
ชวนวัยรุ่นใส่ผ้าไทย หนุน Soft Power - หัตถกรรมไทย 
โกอินเตอร์

สถาบันส่งเสริมศิลปหัตถกรรมไทย (องค์การมหาชน) ออกแคมเปญ Friend of sacit ซึ่งเป็นกิจกรรมที่ช่วยสร้างมูลค่าเพิ่มให้กับงานหัตถกรรมไทยด้านต่างๆ ให้ทันสมัย",3,120,304
abby jeffy meow,@saturthinker,2022-11-09T12:07:37.000Z,"I STAN FOR BARCODE'S CLOTHING ONLY, IT SCREAMS PEAK COLD GEN Z",1,45,148
Laurie Pohutsky,@lpohutsky19,2022-11-09T04:57:05.000Z,"One thing is for sure: no matter what happens tonight, Gen Z has made it clear that they are a force to be reckoned with and elected officials would do well to keep that in mind.",4,79,521
The Tennessee Holler,@TheTNHoller,2022-11-09T13:00:06.000Z,"“If it wasn’t for Gen Z, there would’ve been a Red Wave” 

A brighter future is coming, and Republicans can only hold it off for so long.",20,172,958
David Hogg,@davidhogg111,2022-11-09T01:02:04.000Z,"We just sent the first member of Gen Z and March For Our Lives to congress. He is 25 years old and his name is 
@MaxwellFrostFL",296,1.364,"14,7 mil"
Brianna Wu,@BriannaWu,2022-11-09T13:18:13.000Z,"Any Democratic elected official needs to understand what this earthquake Gen Z vote means. 

Without Gen Z you don’t have a job.

If you are interested in keeping your job, you had better get a HELL of a lot more serious about climate change, abortion rights and wage inequality.",18,202,938
maria,@mlivianoo,2022-11-09T16:40:36.000Z,"a gen z prefere morrer do que atender ligação, não importa quem seja",,,
Jack Cocchiarella,@JDCocchiarella,2022-11-06T00:09:32.000Z,Gen Z will NEVER let Mitch McConnell become Majority Leader again.,843,2.395,13 mil
anwi⁷,@dreamyJeonz_,2022-11-04T12:51:47.000Z,"Shutting the haters in the most gen z way , he's so hot for this ",3,521,4.713
Jack Cocchiarella,@JDCocchiarella,2022-11-05T03:02:12.000Z,"Young voters are turning out at a HISTORIC level right now!

Gen Z is delivering a blue wave!",6.237,4.383,"23,9 mil"
Santiago Mayer,@santiagomayer_,2022-11-09T04:29:18.000Z,The ship Gen Z built survived the “red wave”,133,569,5.384
Santiago Mayer,@santiagomayer_,2022-11-08T22:19:40.000Z,Wouldn't it be fantastic if the media brought on Gen Z to talk about Gen Z voters?,134,1.069,6.195
MamaBear,@mamabearmerrill,2022-11-07T23:34:02.000Z,#BlueTsunami2022  Gen Z is killing it out there today in line waiting!!  Republicans completely underestimate them!!,395,1.639,4.445
Harry Sisson,@harryjsisson,2022-11-05T18:34:29.000Z,"I’m Gen Z, and I just voted blue all the way down the ballot.",1.376,3.583,"26,5 mil"
Angga PF,@AnggaPutraF,2022-11-09T12:33:40.000Z,Menurut survei dari IDN Research Institute. Half of Gen Z yang jadi responden udah punya rumah. Goks. Hehehe,50,181,292
NextGen America,@NextGenAmerica,2022-11-04T20:49:07.000Z,"Remember our video of students at UT Austin in line to vote early?

Today, it's DOUBLED in size and wrapped around the entire building — on the last day to vote early.

Don't underestimate the power of Gen Z.",768,3.403,"11,6 mil"
Lakota Man,@LakotaMan1,2022-11-08T19:48:00.000Z,"My daughter Julia, a Gen Z registered Democrat, will be voting blue today — just as she did in 2018. #VoteBlueToSaveDemocracy",1.848,1.963,"28,4 mil"
Ain,@cikicuba,2022-11-05T13:34:23.000Z,kasian dikerjain gen z,1,148,251
anwi⁷,@dreamyJeonz_,2022-11-04T12:51:28.000Z,"""I hate both texts and calls"" lmao he spoke facts abt all gen z introverts ",6,775,6.559
anwi⁷,@dreamyJeonz_,2022-11-04T12:51:48.000Z,"name one thing my man can't do, a true gen z icon he is .. ",8,647,4.592
Sophia Kianni,@SophiaKianni,2022-11-09T12:04:59.000Z,"I’m the youngest advisor to the head of the United Nations 

Gen Z has one message for world leaders 

Stop lying

#stoplying",85,158,1.277
The New York Times,@nytimes,2022-11-09T11:00:13.000Z,"Gen Z officially has a seat in Congress. 

Maxwell Alejandro Frost, a 25-year-old Democrat, won his election on Tuesday in Florida’s 10th Congressional District over Calvin Wimbish, a Republican.
https://nyti.ms/3A2Vb0S",62,838,5.341
Pop Crave,@PopCrave,2022-11-09T07:49:54.000Z,"Twitter users discover that Maxwell Frost, the first Gen Z member of Congress, is a fan of Ariana Grande and Harry Styles.",206,983,16 mil
Pop Base,@PopBase,2022-11-09T02:07:44.000Z,"The first Gen Z member of congress is set to be 25-year-old Maxwell Frost, who pledged to be an advocate on gun reform.",106,790,"10,3 mil"
Ahmad Jawad,@AhmadJawadBTH,2022-11-09T14:31:31.000Z,"میں تو صرف 14 سال کے بچوں کی بات کر رہا تھا،اب تو معاملہ 6-7 سال پر پہنچ گیا ہے 

یہ وہ تبدیلی ہے جو موروثی اور روایتی سیاست،روایتی اداروں،روایتی میڈیا اور روایتی سوچ کو سمجھنے کی ضرورت ہے،ورنہ نئی سوچ خود ہی ان سب کی تدفین کر دے گی 
#GenZ",57,276,537
dolly,@kimchayprt,2022-11-09T09:26:46.000Z,as a genz representative i would like that this is very realistic.,1,8,64
NPR,@NPR,2022-11-09T14:18:03.000Z,"25-year-old Maxwell Frost will be the first Gen Z member of Congress. 

Frost became involved in activism at age 15 after the mass shooting at Sandy Hook.",24,306,2.138
P106 Damansara #GE15 #GlazersOut,@shaun723,2022-11-05T00:55:35.000Z,"Speaks volumes that gen z interviewed here can’t be arsed with politics or voting. It’s as much our fault that we’re not getting through to them. 

One guy had no idea we had some sort of an anti hoping law…",56,2.291,2.465
Sgt Joker,@TheSGTJoker,2022-11-09T14:12:03.000Z,"If you’re wondering what the 
@GOP
 thinks about young people voting…here’s your answer #GenZ.",37,201,512
Victor Shi,@Victorshi2020,2022-11-08T11:59:41.000Z,"It is Election Day. Republicans have made it their goal to ruin the lives & identities of young people. Today, you’re going to see a wave of Gen Z voters tell them enough is enough. You’re going to see young people shatter turnout records and help usher a blue wave.",119,1.345,5.158
Santiago Mayer,@santiagomayer_,2022-11-06T15:17:49.000Z,"Just two days until Gen Z becomes the GOP’s number one enemy. 

I can’t wait.",152,1.074,6.582
