Username,Handle,Timestamp,Tweet Text,Comments,Retweets,Likes
Séries Brasil,@SeriesBrasil,2022-10-18T23:19:16.000Z,"Lula: ""Eu acho que o Neymar tá com medo de eu ser eleito e descubra o acordo que o Bolsonaro fez com o pai dele."" #Eleicoes2022",480,4.539,37 mil
CHOQUEI,@choquei,2022-10-17T23:33:04.000Z,"VEJA: Consumidores esgotam produtos da Limpol em forma de protesto contra a marca Ypê, após o dono da rede doar R$ 1 milhão para a campanha de Bolsonaro. #Eleições2022",2.869,"11,6 mil","112,4 mil"
CHOQUEI,@choquei,2022-10-18T14:23:06.000Z,BRASIL: Pressão de pastores por votos em Bolsonaro leva evangélicos a expulsão ou abandono de igrejas em diferentes partes do país. #Eleições2022,482,3.268,27 mil
Zé Trovão Deputado Federal,@TrovaoDas,2022-10-19T00:30:34.000Z,"Meus amigos caminhoneiros dia 30 de outubro está chegando, e peço que pare seu caminhão em ato cívico em prol do nosso país 
Precisamos reeleger nosso capitão e eu conto com vocês!

#Euvouparar #BolsonaroPresidente22 #Eleicoes2022 #Caminhoneiros",207,4.273,"12,7 mil"
CHOQUEI,@choquei,2022-10-19T16:23:10.000Z,AGORA: Prefeito de São Paulo não vai fornecer transporte gratuito para eleitores no dia do segundo turno. #Eleições2022,31,17,146
Folha de S.Paulo,@folha,2022-10-18T23:00:39.000Z,"""O comportamento dele no caso das meninas venezuelanas é o comportamento de um pedófilo, e ele percebeu isso, por isso ficou desesperado"", diz Lula sobre Bolsonaro no Flow. Leia em: https://bit.ly/3MWifDP |Assine a Folha:  http://folha.com/assinenotwitter #eleicoes2022",572,1.175,6.793
CHOQUEI,@choquei,2022-10-17T16:28:19.000Z,"VEJA: ‘Padre’ Kelmon é expulso por crianças num bairro em Bauru-SP, ao fazer campanha para Bolsonaro. #Eleições2022",1.900,"14,2 mil","78,1 mil"
Célia Xakriabá,@celiaxakriaba,2022-10-19T15:05:08.000Z,"O STF já autorizou a gratuidade dos ônibus pelas prefeituras em todo o país no dia das eleições! 

Prefeitos de Minas, vamos aderir? É um ato democrático, garantindo um direito! 

#Eleicoes2022",4,28,131
CHOQUEI,@choquei,2022-10-18T19:15:19.000Z,AGORA: Gusttavo Lima perde 120 mil seguidores após declarar apoio a Jair Bolsonaro. #Eleições2022,1.686,1.416,"23,8 mil"
Jornalistas Livres,@J_LIVRES,2022-10-19T16:23:28.000Z,"A quantidade de delitos cometidos por Bolsonaro e suas milícias já seria suficiente em democracias mais ou menos civilizadas para tirá-lo poder. Não é o caso do Brasil:

#Eleições2022",,6,34
